author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
"Habib Ammari, Hyeonbae Kang",Expansion Methods.,,2015,535-590,https://doi.org/10.1007/978-1-4939-0790-8_47,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#AmmariK15,,,,,reference/sp/2015mmi,,,,
"Charles Byrne, Paul P. B. Eggermont",EM Algorithms.,,2015,305-388,https://doi.org/10.1007/978-1-4939-0790-8_8,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#ByrneE15,,,,,reference/sp/2015mmi,,,,
"Muhammad Usman Shahid Khan, Samee Ullah Khan",Smart Data Center.,,2015,247-262,https://doi.org/10.1007/978-1-4939-2092-1_7,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#KhanK15,,,,,reference/sp/2015dc,,,,
"Alexander M. Bronstein, Michael M. Bronstein",Manifold Intrinsic Similarity.,,2015,1859-1908,https://doi.org/10.1007/978-1-4939-0790-8_57,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#BronsteinB15,,,,,reference/sp/2015mmi,,,,
"Badong Chen, Weifeng Liu 0001, José C. Príncipe",Theoretical Methods in Machine Learning.,,2015,523-543,https://doi.org/10.1007/978-3-662-43505-2_30,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#ChenLP15,,,,,reference/sp/2015ci,,,,
"Daniel Estrada, Jonathan Lawhead",Gaming the Attention Economy.,,2013,961-978,"https://doi.org/10.1007/978-1-4614-8806-4_75, https://www.wikidata.org/entity/Q105641879",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#EstradaL13,,,,,reference/sp/2013hc,,,,
Helmut Nechansky,Epistemological Issues in Human Computation.,,2013,71-81,"https://doi.org/10.1007/978-1-4614-8806-4_8, https://www.wikidata.org/entity/Q105641797",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#Nechansky13,,,,,reference/sp/2013hc,,,,
"Lyndon J. B. Nixon, Stamatia Dasiopoulou, Jean-Pierre Evain, Eero Hyvönen, Ioannis Kompatsiaris, Raphaël Troncy","Multimedia, Broadcasting, and eCulture.",,2011,911-975,"https://doi.org/10.1007/978-3-540-92913-0_21, https://www.wikidata.org/entity/Q109278725",,Handbook of Semantic Web Technologies,,,,,,db/reference/sp/semweb2011.html#NixonDEHKT11,,,,,reference/sp/2011semweb,,,,
"Guillaume Aupy, Anne Benoit, Paul Renaud-Goud, Yves Robert","Energy-Aware Algorithms for Task Graph Scheduling, Replica Placement and Checkpoint Strategies.",,2015,37-80,https://doi.org/10.1007/978-1-4939-2092-1_2,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#AupyBRR15,,,,,reference/sp/2015dc,,,,
"Ismael Rodríguez-Fdez, Manuel Mucientes, Alberto José Bugarín Diz",Application of Fuzzy Techniques to Autonomous Robots.,,2015,313-328,https://doi.org/10.1007/978-3-662-43505-2_20,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#Rodriguez-FdezMD15,,,,,reference/sp/2015ci,,,,
"Hendrik Drachsler, Katrien Verbert, Olga C. Santos, Nikos Manouselis",Panorama of Recommender Systems to Support Learning.,,2015,421-451,https://doi.org/10.1007/978-1-4899-7637-6_12,,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#DrachslerVSM15,,,,,reference/sp/2015rsh,,,,
Mark Billinghurst,Augmented Reality Interfaces in Human Computation Systems.,,2013,317-331,"https://doi.org/10.1007/978-1-4614-8806-4_26, https://www.wikidata.org/entity/Q105641820",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#Billinghurst13,,,,,reference/sp/2013hc,,,,
"Emiliano Iuliano, Domenico Quagliarella",Aerodynamic Design with Physics-Based Surrogates.,,2015,1185-1209,https://doi.org/10.1007/978-3-662-43505-2_60,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#IulianoQ15,,,,,reference/sp/2015ci,,,,
"Carlos García-Martínez, Francisco J. Rodríguez 0003, Manuel Lozano 0001",Genetic Algorithms.,,2018,431-464,https://doi.org/10.1007/978-3-319-07124-4_28,,Handbook of Heuristics,,,,,,db/reference/sp/heuristics2018.html#Garcia-MartinezRL18,,,,,reference/sp/2018heuristics,,,,
"Mariá C. V. Nascimento, Horacio Hideki Yanasse, Desiree Maldonado Carvalho",The Multi-plant Lot Sizing Problem with Multiple Periods and Items.,,2018,1291-1306,https://doi.org/10.1007/978-3-319-07124-4_41,,Handbook of Heuristics,,,,,,db/reference/sp/heuristics2018.html#NascimentoYC18,,,,,reference/sp/2018heuristics,,,,
"John G. Breslin, Alexandre Passant, Denny Vrandecic",Social Semantic Web.,,2011,467-506,https://doi.org/10.1007/978-3-540-92913-0_12,,Handbook of Semantic Web Technologies,,,,,,db/reference/sp/semweb2011.html#BreslinPV11,,,,,reference/sp/2011semweb,,,,
"Erik Saule, Hasan Metin Aktulga, Chao Yang 0001, Esmond G. Ng, Ümit V. Çatalyürek",An Out-of-Core Task-based Middleware for Data-Intensive Scientific Computing.,,2015,647-667,https://doi.org/10.1007/978-1-4939-2092-1_22,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#SauleAYNC15,,,,,reference/sp/2015dc,,,,
"Micha vor dem Berge, Jochen Buchholz, Leandro F. Cupertino, Georges Da Costa, Andrew Donoghue, Georgina Gallizo, Mateusz Jarus, Lara Lopez, Ariel Oleksiak, Enric Pages, Wojciech Piatek, Jean-Marc Pierson, Tomasz Piontek, Daniel Rathgeb, Jaume Salom, Laura Sisó, Eugen Volk, Uwe Wössner, Thomas Zilio",CoolEmAll: Models and Tools for Planning and Operating Energy Efficient Data Centres.,,2015,191-245,https://doi.org/10.1007/978-1-4939-2092-1_6,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#BergeBCCDGJLOPPPPRSSVWZ15,,,,,reference/sp/2015dc,,,,
"Zujie Ren, Xiaohong Zhang, Weisong Shi",Resource Scheduling in Data-Centric Systems.,,2015,1307-1330,https://doi.org/10.1007/978-1-4939-2092-1_46,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#RenZS15,,,,,reference/sp/2015dc,,,,
"Shuai Mu 0001, Maomeng Su, Pin Gao, Yongwei Wu, Keqin Li 0001, Albert Y. Zomaya",Cloud Storage over Multiple Data Centers.,,2015,691-725,https://doi.org/10.1007/978-1-4939-2092-1_24,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#MuSGWLZ15,,,,,reference/sp/2015dc,,,,
"Peter Elbau, Leonidas Mindrinos, Otmar Scherzer",Mathematical Methods of Optical Coherence Tomography.,,2015,1169-1204,https://doi.org/10.1007/978-1-4939-0790-8_44,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#ElbauMS15,,,,,reference/sp/2015mmi,,,,
Charles W. Groetsch,Linear Inverse Problems.,,2015,3-46,https://doi.org/10.1007/978-1-4939-0790-8_1,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#Groetsch15,,,,,reference/sp/2015mmi,,,,
Peng Dai,Constructing Crowdsourced Workflows.,,2013,625-632,"https://doi.org/10.1007/978-1-4614-8806-4_49, https://www.wikidata.org/entity/Q105641853",,Handbook of Human Computation,,,,,,db/reference/sp/hc2013.html#Dai13,,,,,reference/sp/2013hc,,,,
"Junwhan Kim, Roberto Palmieri, Binoy Ravindran",On Scheduling in Distributed Transactional Memory: Techniques and Tradeoffs.,,2015,1267-1283,https://doi.org/10.1007/978-1-4939-2092-1_44,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#KimPR15,,,,,reference/sp/2015dc,,,,
